12/24/22F,$15.99,Lola's Chicken,11/22/22C,$105.47,Abercrombie,10/16/22P,$2.67,Spotify,9/23/22F,$5.59,Milk,8/10/22F,$61.59,TrestleSF,7/13/22F,$3.30,Costco Food Court,6/11/22F,$11.00,Blue Bowled,5/16/22R,$2.67,Spotify,4/16/22P,$8.31,Ulta,3/24/22P,$65.00,Gym Membership,,,,,,
12/24/22F,$7.25,Happy Lemon,11/22/22C,$88.57,Hollister,10/21/22F,$10.28,Habit,9/24/22P,$33.04,Bike Tires,8/10/22F,$38.97,Novela,7/14/22F,$5.50,McDonalds,6/11/22F,$2.99,Trader Joe's,5/18/22C,$37.62,Carhartt,4/16/22R,$2.67,Spotify,3/24/22C,$37.62,Carhartt,,,,,,
12/24/22P,$29.36,Amazon - Skincare,11/22/22C,$182.74,Northface,10/21/22R,$354.97,Yosemite,9/25/22P,$35.43,Walmart - Skincare,8/12/22F,$34.34,Saga,7/14/22F,$15.10,Don't Yell At Me,6/12/22R,$646.00,PV Trip,5/18/22F,$26.61,La Penca Azul,4/23/22C,$79.75,Adidas,3/25/22F,$35.69,Wild Ginger,,,,,,
12/28/22F,$6.25,Dingtea,11/22/22C,$125.15,GymShark,10/22/22R,$17.39,Yosemite Bear,9/27/22P,$30.00,TK Barber,8/12/22P,$30.30,Amazon - Glasses,7/14/22P,$49.27,Walmart - Trashcan,6/13/22F,$2.35,Water,5/21/22T,$10.60,Flight to SD/Back,4/24/22P,$119.90,Amazon,3/25/22R,$12.50,JJK Movie,,,,,,
12/28/22R,$14.00,Minigolf,11/22/22C,$16.62,Adidas,10/22/22F,$27.18,Yosemite Market,9/28/22P,$65.00,Gym Membership,8/13/22F,$5.48,iTea,7/14/22P,$31.55,Target - House stuff - Hammer,6/16/22R,$2.67,Spotify,5/21/22F,$13.50,Happy Lemon,4/23/22P,$65.00,Gym Membership,3/27/22F,$19.97,Wild Ginger,,,,,,
12/28/22F,$56.00,Chong Qing Noodle,11/24/22P,$199.34,Airpod Pros 2,10/22/22F,$14.72,June Bug Cafe,9/29/22F,$28.63,Swingin Door BBQ,8/13/22F,$21.72,India Palace,7/16/22P,$2.67,Spotify,6/17/22F,$102.00,Food - PV - Brianna,5/22/22C,$317.27,Target,4/24/22F,$200.00,Costco,3/27/22F,$7.25,Happy Lemon,,,,,,
12/31/22F,$27.16,Trader Joe's,11/25/22P,$75.50,Amazon ,10/22/22F,$19.86,Yosemite Food Cour,9/29/22F,$7.71,AMC Slurpee,8/14/22F,$12.17,Toomies,7/16/22F,$60.53,Pike Place Chowder,6/19/22R,$430.00,Mexico Cash Expenses,5/22/22P,$28.35,Paulas Choice,4/24/22F,$4.97,Costco Food,3/27/22P,$7.18,Walgreens,,,,,,
12/31/22F,$0.18,Safeway,11/26/22F,$31.00,Daeho,10/23/22F,$13.00,Bliss Boba,9/30/22F,$7.25,SomaTea,8/14/22F,$3.84,iTea,7/16/22F,$7.50,Potato Corner,6/21/22R,$109.12,Pay Brianna Back for Mexico,5/22/22P,$138.99,Amazon - Skincare + Fannypack,4/24/22F,$11.09,Safeway,3/29/22C,$32.10,Costco,,,,,,
12/31/22P,$30.00,Haircut,11/26/22R,$15.89,Movie - Glass Onion,10/23/22F,$25.00,Lucky13,,,,8/15/22P,$23.26,Encinal Nursery,7/16/22P,$10.00,Flowers for Victoria,6/24/22F,$52.13,Noroc,5/23/22P,$65.00,Gym Membership,4/29/22F,$6.00,Happy Lemon,3/29/22P,$44.14,Walmart,,,,,,
12/31/22T,$6.00,Bus to SF,11/26/22C,$47.30,GymShark,10/23/22F,$7.34,Walgreens,,,,8/16/22R,$2.67,Spotify,7/16/22F,$4.50,85 Degree,6/24/22F,$5.13,Birria,5/25/22P,$11.06,Amazon - Toothpaste,4/20/22P,$10.18,Amazon,3/29/22C,$130.91,Uniqlo,,,,,,
12/31/22F,$50.00,Tony's Pizza,11/26/22P,$26.57,Amazon - Steamer,10/28/22P,$65.00,Gym,,,,8/16/22P,$20.46,Safeway - Beer,7/16/22R,$18.00,The Gamble Game,6/24/22R,$90.10,Tequila Tour,5/26/22P,$6.19,Amazon - Cortisone,4/21/22P,$34.31,Amazon,,,,,,,,,
,,,11/28/22F,$14.51,Chipotle,10/30/22F,$4.99,Safeway,,,,8/20/22F,$4.49,Nob Hill,7/17/22F,$0.44,Dick Sauce,6/24/22R,$119.20,Rhythm of the Night,5/28/22P,$5.20,Target - Tums,4/22/22F,$28.07,Safeway,,,,,,,,,
,,,11/28/22F,$11.08,Safeway,,,,,,,8/21/22F,$13.58,Trader Joes,7/20/22F,$16.98,Salt and Straws,6/24/22F,$15.50,Airport Food,5/28/22C,$43.34,Uniqlo,4/22/22P,$8.85,Amazon,,,,,,,,,
,,,11/28/22P,$65.00,Gym,,,,,,,8/21/22P,$5.81,Daiso,7/22/22F,$33.01,Bugis,6/24/22T,$27.39,Uber to Airport,5/28/22F,$11.10,SipTea,4/24/22F,$8.25,Happy Lemon,,,,,,,,,
,,,,,,,,,,,,8/25/22F,$19.38,Trader Joes,7/23/22R,$200.00,Canada,6/24/22P,$7.74,Amazon - Thermometer Covers,5/28/22F,$9.78,MochiNut,4/24/22F,$17.24,Wild Ginger,,,,,,,,,
,,,,,,,,,,,,8/25/22F,$15.32,Safeway,7/25/22F,$14.93,Rachel's Ginger Beer,6/24/22P,$117.16,Amazon - Monitor Stand,5/28/22F,$46.03,Yojimbo,4/25/22F,$5.75,Yifeng,,,,,,,,,
,,,,,,,,,,,,8/31/22P,$65.00,Gym Membership,7/26/22F,$115.38,Soju Anju,6/25/22P,$65.00,Rise Gym,5/28/22P,$47.96,Amazon - Phone Stuff,4/25/22F,$22.54,Kombucha + Vons,,,,,,,,,
,,,,,,,,,,,,8/30/22P,$22.16,The Ordinary,7/29/22P,$65.00,Gym Membership,6/28/22P,$14.95,Amazon - Sunscreen,5/31/22F,$17.50,La Penca Azul,4/26/22F,$15.51,Wild Ginger,,,,,,,,,
,,,,,,,,,,,,8/30/22F,$7.98,Safeway,7/30/22F,$22.80,Safeway,6/30/22T,$88.98,Flight SEA --> OAK,5/31/22F,$6.00,Happy Lemon,,,,,,,,,,,,
,,,,,,,,,,,,8/31/22C,$143.98,Dunk By Me,7/30/22C,$74.11,Uniqlo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8/31/22P,$34.31,Amazon,7/30/22F,$39.14,Saga,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7/30/22F,$7.00,Boba Guys,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7/30/22C,$84.04,Amazon - Pants,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7/30/22P,$56.70,Paula's Choice,,,,,,,,,,,,,,,,,,
